2023-02-22 04:40:52.931 [info] Extension host with pid 1941206 started
2023-02-22 04:40:52.950 [info] Lock '/home/ubuntu/.vscode-server/data/User/workspaceStorage/3e23ce5bcb104025f2c3f395e703fecc/vscode.lock': Lock acquired.
2023-02-22 04:40:53.121 [info] ExtensionService#_doActivateExtension vscode.emmet, startup: false, activationEvent: 'onLanguage'
2023-02-22 04:40:53.123 [info] ExtensionService#_doActivateExtension vscode.git-base, startup: true, activationEvent: '*', root cause: vscode.git
2023-02-22 04:40:53.560 [info] ExtensionService#_doActivateExtension vscode.git, startup: true, activationEvent: '*'
2023-02-22 04:40:53.561 [info] ExtensionService#_doActivateExtension vscode.github, startup: true, activationEvent: '*'
2023-02-22 04:40:53.808 [info] ExtensionService#_doActivateExtension vscode.debug-auto-launch, startup: false, activationEvent: 'onStartupFinished'
2023-02-22 04:40:53.808 [info] ExtensionService#_doActivateExtension vscode.merge-conflict, startup: false, activationEvent: 'onStartupFinished'
2023-02-22 04:40:53.809 [info] Eager extensions activated
2023-02-22 04:40:54.312 [warning] Using default string since no string found in i18n bundle that has the key: Don't Show Again
2023-02-22 05:13:48.413 [info] ExtensionService#_doActivateExtension vscode.html-language-features, startup: false, activationEvent: 'onLanguage:html'
2023-02-22 05:15:57.982 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:15:57.982 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:15:57.982 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:15:57.982 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:15:57.982 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:15:57.982 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:15:57.982 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:15:57.982 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:15:57.982 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:15:57.982 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:15:57.982 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:15:57.982 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:15:57.982 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:15:57.982 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:15:57.982 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:15:57.982 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:15:57.982 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:15:57.983 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:15:57.983 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:15:57.983 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:15:57.983 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:15:57.983 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:15:57.983 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:15:57.983 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:15:57.983 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:15:58.984 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:15:58.984 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:15:58.984 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:15:58.984 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:15:58.984 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:15:58.984 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:15:58.985 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:15:58.985 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:15:58.985 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:15:58.985 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:15:58.985 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
